void_id,cx_mpc,cy_mpc,cz_mpc,R_void_mpc,n_members
715,10.812959999999999,150.1141,125.63080000000001,13.392289999999994,1
717,86.0864,13.180489999999999,181.6855,13.72543780110396,4
718,37.81286,140.455,181.4906,8.933793210172535,3
720,33.45086,13.692860000000001,185.7432,8.033305745742128,3
722,79.31017999999999,118.36280000000001,104.5944,14.29345573776652,5
723,35.55241,142.8243,134.78029999999998,8.0087123787933,2
725,32.73558,190.24370000000002,13.34495,7.9236197048175585,2
732,174.0938,204.7261,112.00789999999999,14.040485253575822,3
734,137.3798,69.17538,53.6609,7.8998529836017735,3
735,7.002471,88.35007,189.003,8.334415874934496,3
736,189.4685,48.15614,191.0461,9.670310698536404,2
741,46.68154,100.51219999999999,154.878,7.635037457727852,2
744,169.1987,204.0712,150.329,11.476511838386678,4
745,192.3305,131.88170000000002,153.71110000000002,13.549502876601876,3
749,159.9374,178.6619,85.85927000000001,10.02380839949279,3
751,1.125012,187.1089,10.308639999999999,14.755913222435497,6
752,92.27017,20.005380000000002,10.46449,8.996987280628678,2
754,120.6692,127.2813,6.0524629999999995,9.972168424976397,3
755,170.0999,167.2287,22.503610000000002,8.813193838936359,2
757,200.4315,203.0122,25.15148,7.896064192341208,2
758,32.16128,190.5973,116.92439999999999,8.09980283253893,2
759,25.157310000000003,80.44291,121.02260000000001,10.113581968467077,3
761,84.8878,48.02073,101.2851,8.201178077121337,2
762,191.7006,69.87212,126.16680000000001,14.487668365209384,3
766,91.46726,83.08883,136.6481,7.900488827497685,2
768,86.61441,87.29654,72.88141,6.64996516960821,2
769,153.67229999999998,160.9048,194.19029999999998,13.519799815892057,5
772,35.23936,111.2825,186.1679,8.149265943253537,2
774,132.25889999999998,28.839509999999997,130.5377,6.748669936871158,2
775,103.53460000000001,191.2587,131.911,8.111731422985997,2
777,152.2915,117.4677,78.43769999999999,10.727332326909055,3
781,202.3808,189.3139,150.2644,8.272159748894445,2
784,17.043400000000002,198.39970000000002,10.87206,9.827062865226926,2
785,116.1519,109.45689999999999,3.3863380000000003,8.044877757282112,2
786,73.20537,100.76389999999999,19.30049,7.745383289799357,2
788,11.75862,180.7992,163.2417,10.027292129116766,3
789,78.06816,152.9289,164.1428,9.149209919902896,3
793,72.52229,82.13767999999999,135.828,15.543802193317036,5
794,118.6587,138.288,61.621300000000005,8.099580279630745,3
796,133.5485,116.1929,15.17685,11.390594488133893,3
798,7.676774999999999,2.870779,17.79175,9.188281460681843,3
800,13.61826,72.84495,49.23435,11.306309078911555,3
808,134.962,84.6494,29.256610000000002,9.345692589851659,3
809,96.4577,160.3547,64.19321,10.661479470531727,2
810,43.00458999999999,173.3546,65.94802,8.928298052424674,2
812,20.35109,181.1619,143.6563,11.909650262033274,3
813,162.8725,181.9815,144.5848,10.787802193667336,3
818,71.30237,20.66752,171.86010000000002,6.7970838456435505,2
819,162.044,61.82984,171.5539,9.883007940443814,2
822,15.30819,155.6115,86.76686,10.474308615380808,2
823,159.1768,99.36328999999999,6.894413999999999,8.169543322379782,3
825,99.40827,128.713,11.71828,8.212981875078727,2
826,138.568,93.53862,2.094433,10.356001579256702,2
830,107.46130000000001,64.54397,97.24057,13.438939468104264,3
833,25.65784,34.280800000000006,184.67260000000002,8.417975377720479,2
834,51.81318,154.9366,134.8152,13.561099999999993,1
835,174.7003,104.91369999999999,135.3423,9.3361421150552,3
837,13.96614,196.3675,32.91439,8.923260039534858,2
839,143.95729999999998,161.2868,62.47446,6.7531819079804825,2
840,142.6324,25.88498,46.7278,7.98660826909763,3
845,106.4971,37.5712,30.99043,12.944220632653423,4
848,122.2029,54.56239,68.5266,9.70336999337091,2
849,94.24496,46.99043,68.95761999999999,16.403919999999992,1
853,59.96214,138.99370000000002,154.2825,7.167357971203015,2
859,191.483,204.81320000000002,152.4069,6.700738518938549,2
860,9.818005,99.61182000000001,171.1397,15.58551770303166,5
862,75.06888000000001,55.51804,11.22952,10.373527101201539,3
864,36.267199999999995,117.6939,22.41068,6.9030557405745565,2
867,181.757,195.2245,97.74703,7.887982450151834,2
868,141.3169,107.96010000000001,101.461,13.491590935284947,4
874,203.68470000000002,88.25562,136.3195,11.88195469094629,3
875,83.89832000000001,30.76096,138.0935,8.236481378552826,2
876,151.9734,42.136019999999995,138.759,8.86209812489554,2
878,62.278980000000004,8.087393,175.3331,7.999953792444327,3
879,67.86184,84.34616,45.66312,13.11213147234593,3
881,119.9352,167.44289999999998,49.610440000000004,8.15752447958234,2
883,78.30152000000001,100.5931,71.49332000000001,9.177735466116365,3
886,117.808,55.641160000000006,112.8655,9.858400542545485,2
888,171.1626,50.71335,39.25687,8.360535721664851,3
