void_id,sample,RA,Dec,z_void,R_void_mpc,M_annulus_1e14,N_in_annulus,V_annulus_mpc3,rho_annulus,rho_mean_bin,delta
3328,CMASS South,352.721,-1.917,0.553,35.364,25.768530112469094,5,10374347.283487272,2.4838700120907428e-06,1.85319635923684e-06,0.3403166910567528
754,CMASS South,352.525,-0.844,0.488,41.059,98.30844112155106,27,16236848.550748799,6.054650372224932e-06,6.64238378624601e-06,-0.08848230288018932
5660,CMASS South,352.546,16.304,0.514,73.861,456.8036480846991,118,94519667.68110771,4.8328951983398005e-06,1.85319635923684e-06,1.6078700048439671
1943,CMASS South,27.2,3.789,0.506,44.428,95.85221470587844,25,20570598.417193983,4.65967069901866e-06,1.85319635923684e-06,1.5143966400503543
5842,CMASS South,358.114,33.232,0.45,21.98,22.8664789722781,7,2490919.5462798965,9.179934778073586e-06,6.64238378624601e-06,0.3820241457715725
930,CMASS South,29.745,-0.799,0.573,65.797,50.92795560449338,12,66818221.80338087,7.621866345733332e-07,1.85319635923684e-06,-0.5887178221701195
1830,CMASS South,351.746,1.79,0.575,74.106,179.44650590730072,35,95463368.03580534,1.8797420371759344e-06,1.85319635923684e-06,0.014324266183010411
4907,CMASS South,26.234,21.391,0.534,89.544,412.2881843826415,104,168417070.39850333,2.448018976978389e-06,1.85319635923684e-06,0.32097117759636723
2100,CMASS South,12.935,4.709,0.515,62.621,231.49477713971336,56,57601876.56363439,4.018875615692393e-06,1.85319635923684e-06,1.1686183418509386
2317,CMASS South,21.169,12.876,0.454,46.73,243.44601708763454,76,23936683.607966833,1.0170415462508288e-05,6.64238378624601e-06,0.5311393905855852
7081,CMASS South,6.428,23.126,0.589,79.575,104.66322526231667,22,118197033.87967187,8.854978997938897e-07,1.85319635923684e-06,-0.5221780490878235
7459,CMASS South,20.312,30.406,0.587,76.727,63.23845443264356,14,105954959.44745074,5.968427977550895e-07,1.85319635923684e-06,-0.6779387166501483
5264,CMASS South,334.597,28.274,0.47,69.032,180.22379912518696,58,77166358.14197809,2.335522933369408e-06,6.64238378624601e-06,-0.6483908475440042
4643,CMASS South,18.474,14.354,0.478,48.296,243.0653944417255,62,26424703.613527752,9.198415164713205e-06,6.64238378624601e-06,0.3848063377126472
7403,CMASS South,353.11,28.761,0.476,73.191,515.3569554006293,158,91970739.61863379,5.6034882130730965e-06,6.64238378624601e-06,-0.15640402701874784
